generation,lowest_cost,highest_cost
353,753212,771284

354,753212,771180

355,753212,771056

356,753212,771011

357,753212,770968

358,753212,770859

359,753212,770810

360,753212,770723

361,753212,770666

362,753212,770487

363,753212,770434

364,753212,770385

365,753212,770336

366,753212,770289

367,753212,770249

368,753212,770215

369,753212,770147

370,753212,770029

371,753212,770005

372,753212,769916

373,753212,769879

374,753212,769728

375,753212,769568

376,753212,769454

377,753212,769433

378,753212,769418

379,753212,769224

380,753212,769126

381,753212,769112

382,753212,769044

383,753212,768946

384,753212,768922

385,753212,768831

386,753212,768683

387,753212,768583

388,753212,768388

389,753212,768322

390,753212,768134

391,753212,768086

392,753212,768061

393,753212
0,507808,971410
1,507808,593897
