"Generation","lowest_cost","highest_cost"
47,1422584,1440664
48,1422584,1440426
49,1422584,1440181
50,1422584,1439931
51,1414019,1439491
52,1414019,1439108
53,1414019,1438762
54,1414019,1438478
55,1414019,1438168
56,1414019,1437934
57,1414019,1437617
58,1414019,1437398
59,1413371,1437119
60,1413371,1436624
61,1413371,1435992
62,1413371,1435666
63,1413371,1435352
64,1413371,1435030
65,1413371,1434590
66,1413371,1434340
67,1413371,1433827
68,1413371,1433458
69,1413371,1433205
70,1413371,1432765
71,1413371,1432526
72,1413371,1432236
73,1413371,1432050
74,1413371,1431753
75,1412074,1431532
76,1412074,1431350
77,1412074,1431142
78,1412074,1430909
79,1412074,1430727
80,1412074,1430505
81,1412074,1430319
82,1412074,1430110
83,1412074,1429890
84,1412074,1429757
85,1412074,1429545
86,1412074,1429354
87,1409676,1429138
88,1409676,1428991
89,1409676,1428564
90,1409676,1428319
91,1408724,1428039
92,1408724,1427680
93,1408724,1427517
94,1408724,1427334
95,1401608,1427072
96,1401608,1426701
97,1401608,1426123
98,1401608,1425882
99,1401608,1425322
100,1401608,1424873
101,1401608,1424436
102,1401608,1423990
103,1401608,1423148
104,1401608,1422691
105,1401608,1422223
106,1401608,1421792
107,1401608,1421358
108,1401608,1420997
109,1401608,1420534
110,1401608,1419945
111,1401608,1419610
112,1401608,1419278
113,1401608,1418816
114,1401608,1418432
115,1401608,1418009
116,1401608,1417757
117,1401608,1417540
118,1401608,1417276
119,1401608,1416792
120,1401608,1416635
121,1401608,1416410
122,1396319,1416090
123,1396319,1415888
124,1395620,1415563
125,1395620,1415172
126,1395620,1414794
127,1395620,1414563
128,1395620,1414356
129,1395620,1414088
130,1395620,1413761
131,1395620,1413537
132,1395620,1413336
133,1395620,1412865
134,1395620,1412539
135,1395620,1412358
136,1395620,1412248
137,1395620,1412072
138,1395620,1411888
139,1395620,1411625
140,1394923,1411393
141,1392091,1411214
142,1392091,1410998
143,1392091,1410786
144,1392091,1410496
145,1389661,1410271
146,1389661,1410008
147,1389661,1409769
148,1389661,1409505
149,1389661,1409180
150,1389661,1408821
151,1389661,1408501
152,1389661,1408130
153,1389661,1407953
154,1389661,1407611
155,1389661,1407321
156,1380188,1407121
157,1380188,1406808
158,1380188,1406433
159,1380188,1406015
160,1380188,1405552
161,1380188,1405218
162,1380188,1404868
163,1380188,1404592
164,1380188,1404220
165,1380188,1403751
166,1380188,1403509
167,1380188,1403165
168,1380188,1402740
169,1380188,1402310
170,1380016,1401702
171,1380016,1401264
172,1380016,1400609
173,1380016,1400217
174,1380016,1399770
175,1380016,1399424
176,1380016,1399060
177,1380016,1398768
178,1366329,1398306
179,1366329,1398079
180,1366329,1397760
181,1366329,1397461
182,1366329,1397050
183,1366329,1396554
184,1366329,1396226
185,1366329,1395913
186,1366329,1395808
187,1366329,1395649
188,1366329,1395471
189,1366329,1395058
190,1366329,1394799
191,1366329,1394416
192,1366329,1394193
193,1366329,1393860
194,1366329,1393575
195,1366329,1393401
196,1366329,1393073
197,1366329,1392643
198,1366329,1392185
199,1366329,1391465
200,1366329,1390516
201,1366329,1390123
202,1366329,1389686
203,1366329,1389204
204,1366329,1388727
205,1366329,1388158
206,1366329,1387969
207,1366329,1387684
208,1366329,1387264
209,1366329,1386883
210,1366329,1386541
211,1366329,1386256
212,1366329,1385927
213,1366329,1385552
214,1366329,1385320
215,1366329,1385067
216,1366329,1384860
217,1366329,1384591
218,1366329,1384452
219,1366329,1384285
220,1366329,1384024
221,1366329,1383851
222,1366329,1383681
223,1366329,1383505
224,1366329,1383392
225,1366329,1383236
226,1366329,1383040
227,1366329,1382828
228,1366329,1382627
229,1366329,1382487
230,1366329,1382320
231,1366329,1382128
232,1366329,1382067
233,1366329,1381943
234,1366329,1381877
235,1366329,1381744
236,1366329,1381566
237,1366329,1381468
238,1366329,1381354
239,1366329,1381207
240,1366329,1381030
241,1365214,1380791
242,1365214,1380680
243,1365214,1380347
244,1365214,1380109
245,1364179,1379856
246,1364179,1379706
247,1364179,1379440
248,1364179,1379115
249,1364179,1378805
250,1364179,1378690
251,1364179,1378467
252,1364179,1378278
253,1364179,1377992
254,1362958,1377804
255,1362958,1377550
