"ID","Solution Cost","Generation Born", "Generation Died", "Generation Method"
1420,1823783,1,1,Crossover and Mutation
1314,1823334,1,1,Crossover and Mutation
1382,1823121,1,1,Crossover and Mutation
1159,1822496,1,1,Crossover and Mutation
1274,1822357,1,1,Crossover and Mutation
1290,1822235,1,1,Crossover and Mutation
1476,1822090,1,1,Crossover and Mutation
118,1821713,1,1,Crossover and Mutation
1282,1821404,1,1,Crossover and Mutation
83,1820979,0,1,Random Generation
1491,1820490,1,1,Crossover and Mutation
172,1820273,1,1,Crossover and Mutation
67,1819496,0,1,Random Generation
1259,1818564,1,1,Crossover and Mutation
1312,1818336,1,1,Crossover and Mutation
31,1818008,0,1,Random Generation
1409,1817887,1,1,Crossover and Mutation
1128,1817742,1,1,Crossover and Mutation
22,1817683,0,1,Random Generation
1235,1817454,1,1,Crossover and Mutation
16,1816231,0,1,Random Generation
1453,1815767,1,1,Crossover and Mutation
1338,1815311,1,1,Crossover and Mutation
1251,1814271,1,1,Crossover and Mutation
1160,1813899,1,1,Crossover and Mutation
6,1813454,0,1,Random Generation
187,1813453,1,1,Crossover and Mutation
47,1813187,0,1,Random Generation
1153,1812868,1,1,Crossover and Mutation
1436,1812597,1,1,Crossover and Mutation
1108,1812558,1,1,Crossover and Mutation
1430,1812540,1,1,Crossover and Mutation
1298,1812514,1,1,Crossover and Mutation
1426,1810409,1,1,Crossover and Mutation
1291,1810110,1,1,Crossover and Mutation
131,1809577,1,1,Crossover and Mutation
1196,1808637,1,1,Crossover and Mutation
180,1808312,1,1,Crossover and Mutation
1207,1808161,1,1,Crossover and Mutation
1318,1807343,1,1,Crossover and Mutation
149,1807091,1,1,Crossover and Mutation
1125,1805971,1,1,Crossover an
